Name,Icon_Image,Photo_Image,House_Image,Animal,Gender,Personality,Hobby,Birthday,Catchphrase,Favorite_Song,Favorite_Saying
Benjamin,https://acnhcdn.com/latest/NpcIcon/dog16.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDog16.png,https://acnhcdn.com/drivesync/render/houses/dog16_130_Benjamin.png,Dog,Male,Lazy,Nature,03-Aug,alrighty,Mr. K.K.,A good dog deserves a good treat.
Bertha,https://acnhcdn.com/latest/NpcIcon/hip03.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHip03.png,https://acnhcdn.com/drivesync/render/houses/hip03_202_Bertha.png,Hippo,Female,Normal,Education,25-Apr,bloop,Two Days Ago,The best part of spring is the picnics!
Bettina,https://acnhcdn.com/latest/NpcIcon/mus15.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlMus15.png,https://acnhcdn.com/drivesync/render/houses/mus15_261_Bettina.png,Mouse,Female,Normal,Education,12-Jun,eekers,Animal City,No time like the present!
Bianca,https://acnhcdn.com/latest/NpcIcon/tig06.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlTig06.png,https://acnhcdn.com/drivesync/render/houses/tig06_376_Bianca.png,Tiger,Female,Peppy,Play,13-Dec,glimmer,K.K. House,There is such a thing as love at first sight.
Biff,https://acnhcdn.com/latest/NpcIcon/hip04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHip04.png,https://acnhcdn.com/drivesync/render/houses/hip04_203_Biff.png,Hippo,Male,Jock,Fitness,29-Mar,squirt,The K. Funk,Eighth place is just the seventh loser.
Big Top,https://acnhcdn.com/latest/NpcIcon/elp02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlElp02.png,https://acnhcdn.com/drivesync/render/houses/elp02_150_Big%20Top.png,Elephant,Male,Lazy,Play,03-Oct,villain,Go K.K. Rider,A big nose never spoiled a handsome face.
Bill,https://acnhcdn.com/latest/NpcIcon/duk00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDuk00.png,https://acnhcdn.com/drivesync/render/houses/duk00_133_Bill.png,Duck,Male,Jock,Play,01-Feb,quacko,Imperial K.K.,"Even though there's no 'I' in team, there is a 'me'!"
Billy,https://acnhcdn.com/latest/NpcIcon/goa02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlGoa02.png,https://acnhcdn.com/drivesync/render/houses/goa02_178_Billy.png,Goat,Male,Jock,Play,25-Mar,dagnaabit,K.K. Song,Old dogs can learn new tricks.
Biskit,https://acnhcdn.com/latest/NpcIcon/dog03.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDog03.png,https://acnhcdn.com/drivesync/render/houses/dog03_121_Biskit.png,Dog,Male,Lazy,Play,13-May,dawg,K.K. Mambo,Let sleeping dogs lie.
Bitty,https://acnhcdn.com/latest/NpcIcon/hip05.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHip05.png,https://acnhcdn.com/drivesync/render/houses/hip05_204_Bitty.png,Hippo,Female,Snooty,Education,06-Oct,my dear,K.K. Disco,Necessity is the mother of all invention.
Blaire,https://acnhcdn.com/latest/NpcIcon/squ01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlSqu01.png,https://acnhcdn.com/drivesync/render/houses/squ01_353_Blaire.png,Squirrel,Female,Snooty,Fashion,03-Jul,nutlet,K.K. Bossa,Practice makes perfect.
Blanche,https://acnhcdn.com/latest/NpcIcon/ost08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlOst08.png,https://acnhcdn.com/drivesync/render/houses/ost08_275_Blanche.png,Ostrich,Female,Snooty,Nature,21-Dec,quite so,K.K. Jongara,Nothing beats personal experience.
Bluebear,https://acnhcdn.com/latest/NpcIcon/cbr00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCbr00.png,https://acnhcdn.com/drivesync/render/houses/cbr00_74_Bluebear.png,Cub,Female,Peppy,Fashion,24-Jun,peach,Only Me,Candy makes the world go 'round.
Bob,https://acnhcdn.com/latest/NpcIcon/cat00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCat00.png,https://acnhcdn.com/drivesync/render/houses/cat00_52_Bob.png,Cat,Male,Lazy,Play,01-Jan,pthhpth,Neapolitan,You only live once...or nine times.
Bonbon,https://acnhcdn.com/latest/NpcIcon/rbt17.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlRbt17.png,https://acnhcdn.com/drivesync/render/houses/rbt17_331_Bonbon.png,Rabbit,Female,Peppy,Play,03-Mar,deelish,Bubblegum K.K.,Hindsight is always 20/20.
Bones,https://acnhcdn.com/latest/NpcIcon/dog04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDog04.png,https://acnhcdn.com/drivesync/render/houses/dog04_122_Bones.png,Dog,Male,Lazy,Play,04-Aug,yip yip,K.K. Étude,A snack a day keeps the vacuum away.
Boomer,https://acnhcdn.com/latest/NpcIcon/pgn10.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPgn10.png,https://acnhcdn.com/drivesync/render/houses/pgn10_295_Boomer.png,Penguin,Male,Lazy,Fitness,07-Feb,human,Farewell,Flying is believing.
Boone,https://acnhcdn.com/latest/NpcIcon/gor02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlGor02.png,https://acnhcdn.com/drivesync/render/houses/gor02_186_Boone.png,Gorilla,Male,Jock,Fitness,12-Sep,baboom,Mountain Song,Never settle for second best.
Boots,https://acnhcdn.com/latest/NpcIcon/crd02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCrd02.png,https://acnhcdn.com/drivesync/render/houses/crd02_104_Boots.png,Alligator,Male,Jock,Play,07-Aug,munchie,Wandering,Strength lies in muscles.
Boris,https://acnhcdn.com/latest/NpcIcon/pig09.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPig09.png,https://acnhcdn.com/drivesync/render/houses/pig09_306_Boris.png,Pig,Male,Cranky,Nature,06-Nov,schnort,K.K. Oasis,Life's short. Eat chocolate.
Boyd,https://acnhcdn.com/latest/NpcIcon/gor05.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlGor05.png,https://acnhcdn.com/drivesync/render/houses/gor05_188_Boyd.png,Gorilla,Male,Cranky,Fitness,01-Oct,uh-oh,K.K. Groove,There's always time to take a second look.
Bree,https://acnhcdn.com/latest/NpcIcon/mus03.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlMus03.png,https://acnhcdn.com/drivesync/render/houses/mus03_253_Bree.png,Mouse,Female,Snooty,Fashion,07-Jul,cheeseball,K.K. Bossa,The gift says more about the giver.
Broccolo,https://acnhcdn.com/latest/NpcIcon/mus12.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlMus12.png,https://acnhcdn.com/drivesync/render/houses/mus12_259_Broccolo.png,Mouse,Male,Lazy,Play,30-Jun,eat it,I Love You,One nap leads to another.
Broffina,https://acnhcdn.com/latest/NpcIcon/chn12.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlChn12.png,https://acnhcdn.com/drivesync/render/houses/chn12_96_Broffina.png,Chicken,Female,Snooty,Music,24-Oct,cluckadoo,K.K. Flamenco,Don't peck the hand that feeds you.
Bruce,https://acnhcdn.com/latest/NpcIcon/der03.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDer03.png,https://acnhcdn.com/drivesync/render/houses/der03_111_Bruce.png,Deer,Male,Cranky,Nature,26-May,gruff,K.K. Blues,Nobody's perfect.
Bubbles,https://acnhcdn.com/latest/NpcIcon/hip02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHip02.png,https://acnhcdn.com/drivesync/render/houses/hip02_201_Bubbles.png,Hippo,Female,Peppy,Fashion,18-Sep,hipster,K.K. Stroll,It's best to keep your lips and purse sealed.
Buck,https://acnhcdn.com/latest/NpcIcon/hrs00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHrs00.png,https://acnhcdn.com/drivesync/render/houses/hrs00_206_Buck.png,Horse,Male,Jock,Fitness,04-Apr,pardner,My Place,Keep your eyes on the prize.
Bud,https://acnhcdn.com/latest/NpcIcon/lon00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlLon00.png,https://acnhcdn.com/drivesync/render/houses/lon00_236_Bud.png,Lion,Male,Jock,Fitness,08-Aug,shredded,Aloha K.K.,You're not living unless you're sweating!
Bunnie,https://acnhcdn.com/latest/NpcIcon/rbt00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlRbt00.png,https://acnhcdn.com/drivesync/render/houses/rbt00_314_Bunnie.png,Rabbit,Female,Peppy,Fashion,09-May,tee-hee,Forest Life,"Hare today, gone tomorrow."
Butch,https://acnhcdn.com/latest/NpcIcon/dog01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDog01.png,https://acnhcdn.com/drivesync/render/houses/dog01_119_Butch.png,Dog,Male,Cranky,Music,01-Nov,ROOOOOWF,K.K. Western,A house without either a cat or a dog is a sad house indeed.
Buzz,https://acnhcdn.com/latest/NpcIcon/pbr03.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPbr03.png,https://acnhcdn.com/drivesync/render/houses/pbr03_281_Buzz.png,Eagle,Male,Cranky,Nature,07-Dec,captain,Drivin',Pride'll put you in a pickle.
Cally,https://acnhcdn.com/latest/NpcIcon/squ11.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlSqu11.png,https://acnhcdn.com/drivesync/render/houses/squ11_363_Cally.png,Squirrel,Female,Normal,Nature,04-Sep,WHEE,K.K. Stroll,It's always teatime somewhere.
Camofrog,https://acnhcdn.com/latest/NpcIcon/flg03.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlFlg03.png,https://acnhcdn.com/drivesync/render/houses/flg03_161_Camofrog.png,Frog,Male,Cranky,Music,05-Jun,ten-hut,K.K. Safari,What you can't see can't hurt you.
Canberra,https://acnhcdn.com/latest/NpcIcon/kal08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlKal08.png,https://acnhcdn.com/drivesync/render/houses/kal08_225_Canberra.png,Koala,Female,Big Sister,Play,14-May,nuh uh,K.K. Island,It's never too late to start over.
Candi,https://acnhcdn.com/latest/NpcIcon/mus08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlMus08.png,https://acnhcdn.com/drivesync/render/houses/mus08_256_Candi.png,Mouse,Female,Peppy,Play,13-Apr,sweetie,Neapolitan,"The players may change, but the music stays the same."
Carmen,https://acnhcdn.com/latest/NpcIcon/rbt16.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlRbt16.png,https://acnhcdn.com/drivesync/render/houses/rbt16_330_Carmen.png,Rabbit,Female,Peppy,Fashion,06-Jan,nougat,K.K. Stroll,Absence makes the heart grow fonder.
Caroline,https://acnhcdn.com/latest/NpcIcon/squ06.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlSqu06.png,https://acnhcdn.com/drivesync/render/houses/squ06_358_Caroline.png,Squirrel,Female,Normal,Music,15-Jul,hulaaaa,Pondering,New brooms sweep clean.
Carrie,https://acnhcdn.com/latest/NpcIcon/kgr02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlKgr02.png,https://acnhcdn.com/drivesync/render/houses/kgr02_230_Carrie.png,Kangaroo,Female,Normal,Nature,05-Dec,little one,I Love You,A mother's work is never done.
Cashmere,https://acnhcdn.com/latest/NpcIcon/shp04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlShp04.png,https://acnhcdn.com/drivesync/render/houses/shp04_343_Cashmere.png,Sheep,Female,Snooty,Fashion,02-Apr,baaaby,Farewell,100% Wool.
Celia,https://acnhcdn.com/latest/NpcIcon/pbr09.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPbr09.png,https://acnhcdn.com/drivesync/render/houses/pbr09_286_Celia.png,Eagle,Female,Normal,Nature,25-Mar,feathers,K.K. Soul,It's the thought that counts.
Cesar,https://acnhcdn.com/latest/NpcIcon/gor00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlGor00.png,https://acnhcdn.com/drivesync/render/houses/gor00_184_Cesar.png,Gorilla,Male,Cranky,Fitness,06-Sep,highness,K.K. Cruisin',"As soon as you can grow a mustache, do it."
Chadder,https://acnhcdn.com/latest/NpcIcon/mus18.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlMus18.png,https://acnhcdn.com/drivesync/render/houses/mus18_264_Chadder.png,Mouse,Male,Smug,Fitness,15-Dec,fromage,K.K. Soul,Meeting is just the start of us saying goodbye.
Charlise,https://acnhcdn.com/latest/NpcIcon/bea12.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlBea12.png,https://acnhcdn.com/drivesync/render/houses/bea12_29_Charlise.png,Bear,Female,Big Sister,Fitness,17-Apr,urgh,Mr. K.K.,Actions speak louder than words.
Cheri,https://acnhcdn.com/latest/NpcIcon/cbr10.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCbr10.png,https://acnhcdn.com/drivesync/render/houses/cbr10_83_Cheri.png,Cub,Female,Peppy,Fashion,17-Mar,tralala,K.K. Disco,Good things come in small packages.
Cherry,https://acnhcdn.com/latest/NpcIcon/dog17.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDog17.png,https://acnhcdn.com/drivesync/render/houses/dog17_131_Cherry.png,Dog,Female,Big Sister,Music,11-May,what what,K.K. D&B,"One dog barks at something, the rest bark at him."
Chester,https://acnhcdn.com/latest/NpcIcon/cbr15.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCbr15.png,https://acnhcdn.com/drivesync/render/houses/cbr15_85_Chester.png,Cub,Male,Lazy,Play,06-Aug,rookie,Imperial K.K.,Sleep early. Wake late.
Chevre,https://acnhcdn.com/latest/NpcIcon/goa00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlGoa00.png,https://acnhcdn.com/drivesync/render/houses/goa00_176_Chevre.png,Goat,Female,Normal,Education,06-Mar,la baa,K.K. Chorale,"If you're gonna dream, dream big."
Chief,https://acnhcdn.com/latest/NpcIcon/wol00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlWol00.png,https://acnhcdn.com/drivesync/render/houses/wol00_377_Chief.png,Wolf,Male,Cranky,Music,19-Dec,harrumph,Rockin' K.K.,Don't wish it were easier; wish you were better.
Chops,https://acnhcdn.com/latest/NpcIcon/pig14.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPig14.png,https://acnhcdn.com/drivesync/render/houses/pig14_310_Chops.png,Pig,Male,Smug,Education,13-Oct,zoink,K.K. Moody,You can't have your cake and eat it too.
Chow,https://acnhcdn.com/latest/NpcIcon/bea03.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlBea03.png,https://acnhcdn.com/drivesync/render/houses/bea03_21_Chow.png,Bear,Male,Cranky,Fitness,22-Jul,aiya,Imperial K.K.,All good things must come to an end.
Chrissy,https://acnhcdn.com/latest/NpcIcon/rbt13.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlRbt13.png,https://acnhcdn.com/drivesync/render/houses/rbt13_327_Chrissy.png,Rabbit,Female,Peppy,Fashion,28-Aug,sparkles,Bubblegum K.K.,A fool and their Bells are soon parted.
Claude,https://acnhcdn.com/latest/NpcIcon/rbt11.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlRbt11.png,https://acnhcdn.com/drivesync/render/houses/rbt11_325_Claude.png,Rabbit,Male,Lazy,Nature,03-Dec,hopalong,Pondering,Don't judge a rabbit by its ears.
Claudia,https://acnhcdn.com/latest/NpcIcon/tig05.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlTig05.png,https://acnhcdn.com/drivesync/render/houses/tig05_375_Claudia.png,Tiger,Female,Snooty,Music,22-Nov,ooh la la,K.K. Synth,A tiger can't change its stripes.
Clay,https://acnhcdn.com/latest/NpcIcon/ham05.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHam05.png,https://acnhcdn.com/drivesync/render/houses/ham05_197_Clay.png,Hamster,Male,Lazy,Nature,19-Oct,thump,K.K. Safari,Life is just a bowl of cherries.
Cleo,https://acnhcdn.com/latest/NpcIcon/hrs07.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHrs07.png,https://acnhcdn.com/drivesync/render/houses/hrs07_7_Cleo.png,Horse,Female,Snooty,Education,09-Feb,sugar,K.K. Fusion,There's something lovable in all of us.
Clyde,https://acnhcdn.com/latest/NpcIcon/hrs10.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHrs10.png,https://acnhcdn.com/drivesync/render/houses/hrs10_215_Clyde.png,Horse,Male,Lazy,Play,01-May,clip clawp,Neapolitan,The grass is always greener.
Coach,https://acnhcdn.com/latest/NpcIcon/bul07.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlBul07.png,https://acnhcdn.com/drivesync/render/houses/bul07_50_Coach.png,Bull,Male,Jock,Fitness,29-Apr,stubble,Mr. K.K.,"Fool me once, shame on you. Fool me twice, shame on me."
Cobb,https://acnhcdn.com/latest/NpcIcon/pig08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPig08.png,https://acnhcdn.com/drivesync/render/houses/pig08_305_Cobb.png,Pig,Male,Jock,Education,07-Oct,hot dog,Pondering,Might makes right.
Coco,https://acnhcdn.com/latest/NpcIcon/rbt02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlRbt02.png,https://acnhcdn.com/drivesync/render/houses/rbt02_316_Coco.png,Rabbit,Female,Normal,Education,01-Mar,doyoing,K.K. Jongara,Don't put off till tomorrow what you can do today.
Cole,https://acnhcdn.com/latest/NpcIcon/rbt18.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlRbt18.png,https://acnhcdn.com/drivesync/render/houses/rbt18_332_Cole.png,Rabbit,Male,Lazy,Nature,10-Aug,coooooool,K.K. Faire,Little pitchers have big ears.
